,bufcap,bandwidth,rtt,cc,retx_
686,100,50,150,bbr,18679.0
687,100,50,150,cubic,2157.0
688,100,50,150,bbr,19609.0
689,100,50,150,cubic,2168.0
690,100,50,200,bbr,19901.0
691,100,50,200,cubic,2108.0
692,100,50,200,bbr,21470.0
693,100,50,200,cubic,2015.0
694,100,50,200,bbr,18172.0
695,100,50,200,cubic,2064.0
696,100,50,25,bbr,11732.0
697,100,50,25,cubic,1969.0
698,100,50,25,bbr,11772.0
699,100,50,25,cubic,1965.0
700,100,50,25,bbr,11696.0
701,100,50,25,cubic,2580.0
702,100,50,50,bbr,15769.0
703,100,50,50,cubic,1997.0
704,100,50,50,bbr,18822.0
705,100,50,50,cubic,1995.0
706,100,50,50,bbr,15747.0
707,100,50,50,cubic,2774.0
708,100,50,5,bbr,6200.0
709,100,50,5,cubic,1515.0
710,100,50,5,bbr,6175.0
711,100,50,5,cubic,482.0
712,100,50,5,bbr,6216.0
713,100,50,5,cubic,1535.0
714,100,50,75,bbr,21669.0
715,100,50,75,cubic,2017.0
716,100,50,75,bbr,21018.0
717,100,50,75,cubic,1876.0
718,100,50,75,bbr,21848.0
719,100,50,75,cubic,2268.0
720,100,750,100,bbr,195502.0
721,100,750,100,cubic,1910.0
722,100,750,100,bbr,196735.0
723,100,750,100,cubic,1842.0
724,100,750,100,bbr,199997.0
725,100,750,100,cubic,1606.0
726,100,750,10,bbr,210817.0
727,100,750,10,cubic,1519.0
728,100,750,10,bbr,216332.0
729,100,750,10,cubic,1856.0
730,100,750,10,bbr,215755.0
731,100,750,10,cubic,2626.0
732,100,750,150,bbr,168648.0
733,100,750,150,cubic,1522.0
734,100,750,150,bbr,166445.0
735,100,750,150,cubic,1631.0
736,100,750,150,bbr,152308.0
737,100,750,150,cubic,1400.0
738,100,750,200,bbr,116378.0
739,100,750,200,cubic,1523.0
740,100,750,200,bbr,136519.0
741,100,750,200,cubic,1417.0
742,100,750,200,bbr,156534.0
743,100,750,200,cubic,1142.0
744,100,750,25,bbr,203238.0
745,100,750,25,cubic,1502.0
746,100,750,25,bbr,194479.0
747,100,750,25,cubic,1665.0
748,100,750,25,bbr,217608.0
749,100,750,25,cubic,1753.0
750,100,750,50,bbr,190711.0
751,100,750,50,cubic,2018.0
752,100,750,50,bbr,199969.0
753,100,750,50,cubic,1501.0
754,100,750,50,bbr,211538.0
755,100,750,50,cubic,1595.0
756,100,750,5,bbr,333806.0
757,100,750,5,cubic,1985.0
758,100,750,5,bbr,303188.0
759,100,750,5,cubic,3259.0
760,100,750,5,bbr,329534.0
761,100,750,5,cubic,2106.0
762,100,750,75,bbr,187109.0
763,100,750,75,cubic,1565.0
764,100,750,75,bbr,199716.0
765,100,750,75,cubic,1697.0
766,100,750,75,bbr,198262.0
767,100,750,75,cubic,1785.0
